,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
170,Pennsylvania,Chester,Delaware,39.835556,-75.3725,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,336
171,Pennsylvania,Erie,Erie,42.14175,-80.038611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,348
172,Pennsylvania,Erie,Erie,42.14175,-80.038611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,348
173,Pennsylvania,Scranton,Lackawanna,41.442778,-75.623056,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,334
174,Pennsylvania,Scranton,Lackawanna,41.442778,-75.623056,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,334
175,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
176,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
177,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
178,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
179,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,361
180,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,361
181,Pennsylvania,,Lebanon,40.337328,-76.383447,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,342
