State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
New York, ,Essex,  44.366079999999997, -73.903120000000001,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5987
New York, ,Essex,  44.393079999999998, -73.858900000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5989
New York, ,Essex,  44.393079999999998, -73.858900000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
New York, ,Essex,  44.393079999999998, -73.858900000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
New York, ,Essex,  43.973100000000002, -74.223200000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4090
New York, ,Franklin,  44.980576999999997, -74.695004999999995,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,6952
New York, ,Franklin,  44.980576999999997, -74.695004999999995,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2779
New York, ,Franklin,  44.980576999999997, -74.695004999999995,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3421
New York, ,Hamilton,  43.449570000000001, -74.516249999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6083
New York, ,Herkimer,  43.685780000000001, -74.985380000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6117
New York, ,Jefferson,  44.087470000000003, -75.973159999999993,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6145
New York,New York,Kings,  40.719610000000003, -73.947710000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
New York,New York,Kings,  40.719610000000003, -73.947710000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
New York,Rochester,Monroe,  43.146180000000001, -77.548169999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6084
New York,Rochester,Monroe,  43.146180000000001, -77.548169999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
New York,Rochester,Monroe,  43.146180000000001, -77.548169999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
New York,New York,New York,  40.799700000000001, -73.934320000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
