CTUID,Pop Density,Average Household Age,Average Household Size,Average Household Total Income ,Average Number of Rooms,Average Shelter Monthly Cost,p Housing Suitability,Built On or After 2001,p Single-Detached Houses,pGoodCondition
5370223.14,2724.5,42.1,2.9,201571,8.6,1849,0.989583333,0.491349481,0.650684932,0.996527778
5370223.15,3222.9,38.9,2.7,127730,7.4,1618,0.98255814,0.418604651,0.405714286,0.976744186
5370223.16,3624.1,37.4,2.7,127270,7,1553,0.969325153,0.043209877,0.339622642,0.981595092
5370224.01,1740.4,31,3.4,129274,6.9,2260,0.9584,0.9904,0.6288,0.9984
5370224.02,47.6,44.3,2.8,241645,8.7,1938,0.969111969,0.135135135,0.959259259,0.945945946
5370300,43.3,42,2.8,114909,7.6,1393,0.986206897,0.109589041,0.963768116,0.938356164
5370301,693.5,38.2,2.7,111306,7.1,1522,0.982486865,0.500875657,0.589965398,0.975481611
5370302,1437.3,45.4,2.2,80105,6.3,1252,0.977319588,0.041237113,0.608247423,0.927835052
5370303.01,2092.2,42.7,2.7,115303,7.6,1467,0.982638889,0.208333333,0.71875,0.958333333
5370303.02,1344.7,44.1,2.7,127800,7.6,1506,0.970989761,0.357264957,0.757264957,0.979487179
